epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,10621.9,0.98881,0.90594,0.5943,0.94054,0.91536,0.73105,0.82311,0.61213,0.95889,0.71394,0.81021,0.45068,0.82566,0.7494,0.50155,0.94182,0.0047035,0.0047035,0.0047035
109,10717.3,0.98077,0.88467,0.59142,0.94146,0.96296,0.71638,0.82598,0.61029,0.96624,0.71883,0.80257,0.44894,0.83998,0.7506,0.50121,0.94257,0.004654,0.004654,0.004654
110,10813.1,0.97042,0.88182,0.58339,0.94238,0.93131,0.72861,0.82465,0.61564,0.96928,0.71149,0.80756,0.44296,0.82435,0.81947,0.50153,0.93902,0.0046045,0.0046045,0.0046045
111,10907.7,0.97428,0.90814,0.58628,0.93805,0.964,0.72022,0.82705,0.61983,0.96202,0.71638,0.80399,0.44158,0.82384,0.83944,0.49355,0.93217,0.004555,0.004555,0.004555
112,11004.7,0.96078,0.84177,0.57912,0.93165,0.95805,0.72586,0.82434,0.61544,0.95482,0.72342,0.80169,0.45526,0.82799,0.8042,0.48292,0.93315,0.0045055,0.0045055,0.0045055
113,11099.4,0.97183,0.86501,0.57654,0.94182,0.954,0.72861,0.82758,0.6222,0.94798,0.72372,0.8055,0.45413,0.82109,0.78345,0.47675,0.93498,0.004456,0.004456,0.004456
114,11194.6,0.9753,0.89394,0.58586,0.9446,0.95887,0.71883,0.82525,0.6189,0.95448,0.71149,0.79724,0.44941,0.82504,0.78581,0.48828,0.93578,0.0044065,0.0044065,0.0044065
115,11289.5,0.96823,0.87936,0.58352,0.94001,0.9604,0.71164,0.82458,0.61687,0.97598,0.69438,0.80082,0.4373,0.84179,0.83101,0.4839,0.93893,0.004357,0.004357,0.004357
116,11384.8,0.96381,0.84938,0.58044,0.93878,0.96038,0.71124,0.81873,0.6179,0.95373,0.70557,0.79315,0.44429,0.80436,0.80035,0.48999,0.93033,0.0043075,0.0043075,0.0043075
117,11479.1,0.95827,0.85183,0.57576,0.93784,0.96251,0.71394,0.8193,0.61973,0.95473,0.72198,0.80247,0.44638,0.8127,0.79355,0.49609,0.92863,0.004258,0.004258,0.004258
118,11573.3,0.9457,0.83111,0.56928,0.92829,0.97293,0.71883,0.82694,0.62194,0.96957,0.71638,0.80637,0.4469,0.82007,0.81005,0.48327,0.93185,0.0042085,0.0042085,0.0042085
119,11668.4,0.97264,0.87168,0.58097,0.93869,0.97119,0.72127,0.82549,0.61825,0.97119,0.72127,0.80518,0.44808,0.82128,0.81686,0.48875,0.93352,0.004159,0.004159,0.004159
120,11763.2,0.9694,0.86901,0.58109,0.93632,0.96578,0.71149,0.82524,0.61053,0.96539,0.70905,0.79615,0.44221,0.81787,0.80603,0.49354,0.93757,0.0041095,0.0041095,0.0041095
121,11857.9,0.95809,0.84741,0.56975,0.93671,0.96491,0.70905,0.8249,0.62249,0.96129,0.7066,0.80716,0.44713,0.80247,0.78876,0.49579,0.92907,0.00406,0.00406,0.00406
